#ID = 
#Grid Position = Position of spot on microarray
#Name = Gene Name
#Clone_description = Description of source of cDNA for microarray
#Gene Names = alternative  gene names
#GB_ACC = GenBank Accesssion number
#Symbol = Gene Symbol
#Mouse Unigene = Unigene number
#LocusLink ID = Locus link ID number
#SPOT_ID = 
*ID**	Grid Position**	Name**	Clone_description**	Gene Names**	GB_ACC**	Symbol**	Mouse Unigene**	LocusLink ID**	SPOT_ID*
2376	GRID- 108-R5C5	11 days embryo gonad cDNA, RIKEN full-length enriched library, clone:7030402E17 product:DNA segment, Chr 4, ERATO Doi 681, expressed, full insert sequence		DNA segment, Chr 4, ERATO Doi 681, expressed	BG070327 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070327>		49530	52421	
2377	GRID- 109-R1C1	RIKEN cDNA 2510002D24 gene		expressed sequence AA409624	BG063089 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063089>	2510002D24Rik	36907	102847	
2378	GRID- 109-R1C2	reticulocalbin 2	Mus musculus reticulocalbin 2 (Rcn2),  mRNA	reticulocalbin 2	BG063341 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063341>	Rcn2	1782	26611	
2379	GRID- 109-R1C3			no value	BG063665 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063665>		103471	-	
2380	GRID- 109-R1C4	Gem-interacting protein	Homo sapiens Gem-interacting protein  (LOC51291), mRNA	RIKEN cDNA 5031419I10 gene	BG077325 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077325>	Gmip	798	78816	
2381	GRID- 109-R1C5			ESTs	BG064303 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064303>		41998	-	
2382	GRID- 109-R2C1	eukaryotic translation initiation factor 2B, subunit 3	Homo sapiens cDNA FLJ12337 fis,  clone MAMMA1002236, highly similar to TRANSLATION  INITIATION FACTOR EIF-2B GAMMA SUBUNIT	ESTs, Highly similar to S72266 translation initiation factor eIF2B gamma chain - rat [R.norvegicus]	BG064626 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064626>	Eif2b3	34612	-	
2383	GRID- 109-R2C3		Mus domesticus strain MilP  mitocondrion genome, complete sequence	no value	BG064980 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064980>		no value	-	
2384	GRID- 109-R2C4	p21 (CDKN1A)-activated kinase 2	Oryctolagus cuniculus p21-activated  protein kinase I (PakI) mRNA, complete cds	DNA segment, Chr 16, ERATO Doi 269, expressed	BG065345 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065345>	Pak2	28202	-	
2385	GRID- 109-R2C5			ESTs	BG065683 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065683>		24911	-	
2386	GRID- 109-R3C1	Similar to hephaestin (LOC244698), mRNA		expressed sequence C77741	BG066022 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066022>		172662	97517	
2387	GRID- 109-R3C2	stromal cell derived factor 4	Mus musculus calcium-binding protein  Cab45a mRNA, complete cds	stromal cell derived factor 4	BG066355 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066355>	Sdf4	30149	20318	
2388	GRID- 109-R3C4	Transcribed sequences		DNA segment, Chr 4, ERATO Doi 298, expressed	BG066705 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066705>		154680	51878	
2389	GRID- 109-R3C5	Nanog homeobox		RIKEN cDNA 2410002E02 gene	BG067052 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067052>	Nanog	6047	71950	
2390	GRID- 109-R4C1	RIKEN cDNA 1700009P03 gene	Homo sapiens cutaneous T-cell lymphoma  tumor antigen se70-2 (SE70-2), mRNA	expressed sequence AI447318	BG067401 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067401>	1700009P03Rik	1279	74213	
2391	GRID- 109-R4C3	9.5 days embryo parthenogenote cDNA, RIKEN full-length enriched library, clone:B130065L01 product:unclassifiable, full insert sequence		ESTs	BG067774 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067774>		188472	-	
2392	GRID- 109-R4C4		Rat prostatein C3 subunit gene,  complete cds	no value	BG081181 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG081181>		no value	-	
2393	GRID- 109-R4C5	Adult male olfactory brain cDNA, RIKEN full-length enriched library, clone:6430515P22 product:unknown EST, full insert sequence	Human mRNA for KIAA0332 gene,  partial cds	expressed sequence AU023006	BG068480 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068480>		27137	102683	
2394	GRID- 109-R5C1	peptidylprolyl isomerase (cyclophilin)-like 4		RIKEN cDNA 3732410E19 gene	BG068853 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068853>	Ppil4	38927	67418	
2395	GRID- 109-R5C2	Unknown (protein for IMAGE:30033377)		DNA segment, Chr 4, ERATO Doi 792, expressed	BG069218 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069218>	LOC384077	26222	52420	
2396	GRID- 109-R5C3	0 day neonate lung cDNA, RIKEN full-length enriched library, clone:E030046B03 product:unclassifiable, full insert sequence		expressed sequence AU019878	BG069593 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069593>		11567	105283	
2397	GRID- 109-R5C4	neuronal PAS domain protein 2	Mus musculus neuronal PAS domain protein  2 (Npas2), mRNA	neuronal PAS domain protein 2	BG082896 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG082896>	Npas2	2380	18143	
2398	GRID- 109-R5C5	phosphatase and tensin homolog	Mus musculus phosphatase and tensin  homolog (Pten), mRNA	phosphatase and tensin homolog	BG083236 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG083236>	Pten	1591	19211	
2399	GRID- 110-R1C1		Mus musculus sepiapterin reductase gene,  exons 1 and 2	sepiapterin reductase	BG076574 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076574>		28393	20751	
2400	GRID- 110-R1C2	RAN binding protein 1	Mus musculus RAN binding protein 1  (Ranbp1), mRNA	RAN binding protein 1	BG063350 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063350>	Ranbp1	3752	19385	
2401	GRID- 110-R1C3	RIKEN cDNA 5730414C17 gene	Homo sapiens clone FLC1464  PRO3102 mRNA, complete cds	RIKEN cDNA 5730414C17 gene	BG077059 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077059>	5730414C17Rik	2862	66631	
2402	GRID- 110-R1C4	RIKEN cDNA 5730409G15 gene	Homo sapiens hypothetical protein  FLJ10661 (FLJ10661), mRNA	ESTs, Weakly similar to S24460 probable membrane protein R08D7.4 - Caenorhabditis elegans [C.elegans]	BG077337 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077337>	5730409G15Rik	45780	-	
2403	GRID- 110-R1C5			EST, Weakly similar to S37583 RING finger protein rfp - mouse [M.musculus]	AW544238 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW544238>		102744	-	
2404	GRID- 110-R2C1	phosphatidylinositol glycan, class S	Homo sapiens cDNA: FLJ22172  fis, clone HRC00717, highly similar to AF161427 Homo  sapiens HSPC309 mRNA	no value	BG077884 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077884>	Pigs	41699	-	
2405	GRID- 110-R2C3	ADP-ribosylation factor 1	Mus musculus ADP-ribosylation factor 1  (Arf1), mRNA	ADP-ribosylation factor 1	BG078294 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG078294>	Arf1	6836	11840	
2406	GRID- 110-R2C4	aldehyde dehydrogenase family 6, subfamily A1		RIKEN cDNA 1110038I05 gene	AW537342 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW537342>	Aldh6a1	182707	104776	
2407	GRID- 110-R2C5	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	Mus musculus DNA for ADAMTS-1,  complete cds	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	BG065692 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065692>	Adamts1	1421	11504	
2408	GRID- 110-R3C1	RIKEN cDNA 1810013L24 gene		no value	BG066034 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066034>	1810013L24Rik	24969	-	
2409	GRID- 110-R3C2	DNA segment, Chr 11, ERATO Doi 707, expressed		RIKEN cDNA 2610001E01 gene	BG066367 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066367>	D11Ertd707e	28624	52715	
2410	GRID- 110-R3C4	RIKEN cDNA 9130229H14 gene	Homo sapiens cDNA: FLJ21469 fis,  clone COL04876	expressed sequence C80126	BG079875 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079875>	9130229H14Rik	153790	96897	
2411	GRID- 110-R3C5	Transcribed sequences		expressed sequence C81557	BG067064 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067064>		35320	98029	
2412	GRID- 110-R4C1	RIKEN cDNA 2810484M10 gene	Rattus norvegicus MG87 mRNA,  complete cds	RIKEN cDNA 2810484M10 gene	BG080478 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG080478>	2810484M10Rik	177724	67247	
2413	GRID- 110-R4C3	Transcribed sequences		expressed sequence C87490	BG067784 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067784>		25491	97028	
2414	GRID- 110-R4C4	RIKEN cDNA 1700019B01 gene		RIKEN cDNA 1700019B01 gene	BG068136 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068136>	1700019B01Rik	87424	70054	
2415	GRID- 110-R4C5	ret finger protein-like 4		ret finger protein-like 4	BG068492 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068492>	Rfpl4	28764	192658	
2416	GRID- 110-R5C1	SMC (structural maintenance of chromosomes 1)-like 1 (S. cerevisiae)	Human mRNA for KIAA0178 gene, partial  cds	SMC (structural maintenance of chromosomes 1)-like 1 (S. cerevisiae)	BG068865 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068865>	Smc1l1	26412	24061	
2417	GRID- 110-R5C2	Transcribed sequences		DNA segment, Chr 3, ERATO Doi 711, expressed	BG069230 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069230>		26114	51927	
2418	GRID- 110-R5C3	pericentrin 2	Mus musculus pericentrin (Pcnt), mRNA	expressed sequence AW476095	BG082619 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG082619>	Pcnt2	26191	103453	
2419	GRID- 110-R5C4	oxysterol binding protein-like 2		Mus musculus, clone MGC:28451 IMAGE:4159217, mRNA, complete cds	AU021480 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AU021480>	Osbpl2	11582	-	
2420	GRID- 110-R5C5	SUMO/sentrin specific protease 3	Mus musculus sentrin/SUMO-specific  protease (SENP3) mRNA, complete cds	smt3-specific isopeptidase 1	BG083248 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG083248>	Senp3	22271	80886	
2421	GRID- 111-R1C1	ARP2 actin-related protein 2 homolog (yeast)		RIKEN cDNA 4921510D23 gene	BG063090 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063090>	Actr2	30108	66713	
2422	GRID- 111-R1C2	Transcribed sequence with weak similarity to protein ref:NP_081764.1 (M.musculus) RIKEN cDNA 5730493B19 [Mus musculus]		no value	AA409115 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AA409115>		no value	-	
2423	GRID- 111-R1C3	testis expressed gene 19		testis expressed gene 19	BG063666 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063666>	Tex19	12669	73679	
2424	GRID- 111-R1C4	ribophorin I	Homo sapiens ribophorin I (RPN1), mRNA	expressed sequence AU018702	BG063974 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063974>	Rpn1	22333	101241	
2425	GRID- 111-R1C5	chaperonin subunit 8 (theta)	Mus musculus Cctq gene for  chaperonin containing TCP-1 theta subunit, complete cds	chaperonin subunit 8 (theta)	BG064304 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064304>	Cct8	17989	12469	
2426	GRID- 111-R2C1	serine hydrolase-like	Homo sapiens CGI-96 protein (CGI-96),  mRNA	no value	BG077875 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077875>	Serhl	196222	74778	
2427	GRID- 111-R2C3	nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha	Mus musculus I kappa B alpha gene,  exons 2-6, partial cds	nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha	BG078274 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG078274>	Nfkbia	8884	18035	
2428	GRID- 111-R2C4	replication protein A1	Homo sapiens replication protein A1  (70kD) (RPA1), mRNA	replication protein A1 (70 kDa)	BG078630 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG078630>	Rpa1	180734	68275	
2429	GRID- 111-R2C5	Transcribed sequence with weak similarity to protein pir:S70642 (R.norvegicus) S70642 ubiquitin ligase Nedd4 - rat		expressed sequence C76472	BG065684 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065684>		42516	97784	
2430	GRID- 111-R3C1	12 days embryo embryonic body between diaphragm region and neck cDNA, RIKEN full-length enriched library, clone:9430041D22 product:inferred: Mus musculus, Similar to highly expressed in cancer, rich in leucine heptad repeats, clone MGC:8 ...	Homo sapiens highly expressed in  cancer, rich in leucine heptad repeats (HEC), mRNA	Mus musculus, Similar to highly expressed in cancer, rich in leucine heptad repeats, clone MGC:8311, mRNA, complete cds	BG079289 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079289>		6642	77022	
2431	GRID- 111-R3C2	Transcribed sequence with moderate similarity to protein ref:NP_079184.1 (H.sapiens) hypothetical protein FLJ12973 [Homo sapiens]		microfibrillar-associated protein 1	BG066356 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066356>		96671	67532	
2432	GRID- 111-R3C4	Transcribed sequence with weak similarity to protein ref:NP_081764.1 (M.musculus) RIKEN cDNA 5730493B19 [Mus musculus]		DNA segment, Chr 5, ERATO Doi 301, expressed	BG066706 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066706>		132327	52249	
2433	GRID- 111-R3C5			ESTs	BG067053 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067053>		13351	-	
2434	GRID- 111-R4C1	RIKEN cDNA 6030411K04 gene		complement component 3	BG067402 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067402>	6030411K04Rik	19131	12266	
2435	GRID- 111-R4C3	T-cell activation kelch repeat protein		expressed sequence AU040152	C87450 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=C87450>	Takrp	23904	101262	
2436	GRID- 111-R4C4			no value	BG068125 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068125>		27700	-	
2437	GRID- 111-R4C5		Homo sapiens antigen NY-CO-33  (NY-CO-33) mRNA, complete cds	serologically defined colon cancer antigen 33	BG081510 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG081510>		102136	110796	
2438	GRID- 111-R5C1	Transcribed sequences		ESTs	BG068854 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068854>		173685	-	
2439	GRID- 111-R5C2	ras homolog gene family, member A	Mus musculus aplysia ras-related  homolog A2 (Arha2), mRNA	ras homolog A2	BG082240 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG082240>	Arha	757	11848	
2440	GRID- 111-R5C3	origin recognition complex, subunit 3-like (S. cerevisiae)		RIKEN cDNA 2700059D21 gene	BG069594 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069594>	Orc3l	193688	67185	
2441	GRID- 111-R5C4	Transcribed sequences		ESTs	BG070038 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070038>		26263	-	
2442	GRID- 111-R5C5	Hypothetical LOC330668 (LOC330668), mRNA		RIKEN cDNA 2900059M17 gene	BG070317 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070317>		39863	52389	
2443	GRID- 112-R1C1			no value	BG063099 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063099>		no value	-	
2444	GRID- 112-R1C2	DNA segment, Chr 14, Abbott 1 expressed		ESTs	BG063351 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG063351>	D14Abb1e	24507	-	
2445	GRID- 112-R1C3	coactivator-associated arginine methyltransferase 1	Mus musculus coactivator-associated  arginine methyltransferase 1 (Carm1-pending), mRNA	no value	BG077060 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077060>	Carm1	196572	59035	
2446	GRID- 112-R1C4	chromosome condensation 1	Hamster (clone pBH21) RCC1 mRNA,  complete cds	RIKEN cDNA 4931417M11 gene	BG077338 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077338>	Chc1	154298	100088	
2447	GRID- 112-R1C5	thimet oligopeptidase 1	Mus musculus thimet oligopeptidase  mRNA, complete cds	thimet oligopeptidase 1	BG077656 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG077656>	Thop1	26995	50492	
2448	GRID- 112-R2C1	Transcribed sequences		ESTs	BG064637 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064637>		197233	-	
2449	GRID- 112-R2C3		Homo sapiens putative nuclear protein  (LOC51307), mRNA	RIKEN cDNA 2810012G03 gene	BG064991 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG064991>		29424	66306	
2450	GRID- 112-R2C4	protein kinase C-like 2	Homo sapiens protein kinase C-like 2  (PRKCL2), mRNA	no value	BG078640 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG078640>	Prkcl2	71914	99668	
2451	GRID- 112-R2C5	tripartite motif protein 47		Mus musculus, Similar to gene overexpressed in astrocytoma, clone IMAGE:5012052, mRNA, partial cds	BG065693 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG065693>	Trim47	5510	-	
2452	GRID- 112-R3C1	mucin 1, transmembrane	Mus musculus thrombospondin 3 (Thbs3)  gene, partial cds and mucin 1 (Muc1) gene, complete cds	mucin 1, transmembrane	BG079301 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG079301>	Muc1	16193	17829	
2453	GRID- 112-R3C2	checkpoint kinase 1 homolog (S. pombe)	Mus musculus checkpoint kinase 1  homolog (S. pombe) (Chek1), mRNA	checkpoint kinase 1 homolog (S. pombe)	BG066368 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066368>	Chek1	16753	12649	
2454	GRID- 112-R3C4	RIKEN cDNA C330003B14 gene		expressed sequence C80129	BG066718 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG066718>	C330003B14Rik	6863	97922	
2455	GRID- 112-R3C5	Transcribed sequences	Mus musculus major histocompatibility  complex region NG27, NG28, RPS28, NADH oxidoreductase,  NG29, KIFC1, Fas-binding protein, BING1, tapasin,  RalGDS-like, KE2, BING4, beta 1,3-galactosyl transfera	expressed sequence C81431	BG067065 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG067065>		34949	98077	
2456	GRID- 112-R4C1	inositol polyphosphate-5-phosphatase F	Homo sapiens KIAA0966 protein  (KIAA0966), mRNA	expressed sequence AI115354	BG080479 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG080479>	Inpp5f	28703	101490	
2457	GRID- 112-R4C3	RIKEN cDNA 2310037I24 gene	Homo sapiens cDNA FLJ12670 fis,  clone NT2RM4002301	RIKEN cDNA 2310037I24 gene	BG080856 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG080856>	2310037I24Rik	27269	69612	
2458	GRID- 112-R4C4	heterogeneous nuclear ribonucleoprotein U	Homo sapiens heterogeneous nuclear  ribonucleoprotein U (scaffold attachment factor A)  (HNRPU), mRNA	heterogeneous nuclear ribonucleoprotein U	BG081194 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG081194>	Hnrpu	2115	51810	
2459	GRID- 112-R4C5	Transcribed sequences		ESTs	BG068493 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068493>		173589	-	
2460	GRID- 112-R5C1	Transcribed sequence with moderate similarity to protein ref:NP_081764.1 (M.musculus) RIKEN cDNA 5730493B19 [Mus musculus]		ESTs	BG068866 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG068866>		173686	-	
2461	GRID- 112-R5C2	RIKEN cDNA 2810433K01 gene	Homo sapiens cDNA FLJ13477 fis,  clone PLACE1003638	RIKEN cDNA 2810433K01 gene	BG082251 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG082251>	2810433K01Rik	25546	66468	
2462	GRID- 112-R5C3	RIKEN cDNA A730014M16 gene		ESTs	BG069606 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG069606>	A730014M16Rik	31818	-	
2463	GRID- 112-R5C4	homeodomain interacting protein kinase 1	Mus musculus protein kinase Myak-L  (Myak) mRNA, alternatively spliced, complete cds	homeodomain interacting protein kinase 1	BG082905 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG082905>	Hipk1	20827	15257	
2464	GRID- 112-R5C5	Transcribed sequences		expressed sequence AU015601	BG070329 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG070329>		173229	106972	
2465	GRID- 113-R1C1	RIKEN cDNA 2810417H13 gene	Homo sapiens KIAA0101 gene product  (KIAA0101), mRNA	RIKEN cDNA 2810417H13 gene	BG076569 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076569>	2810417H13Rik	45765	68026	
2466	GRID- 113-R1C2		M.musculus 45S pre rRNA gene	no value	BG076798 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=BG076798>		no value	-	
2467	GRID- 113-R1C3	sorting nexin 14	Homo sapiens sorting nexin 14  (SNX14) mRNA, partial cds	ESTs, Highly similar to SNXE_HUMAN SORTING NEXIN 14 [H.sapiens]	AW538640 <http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=AW538640>	Snx14	3154	-	
